time_stamp,car_pose_front_axle_x_meters,car_pose_front_axle_y_meters,car_pose_yaw_degrees
1752570362.092851,35.577,19.800,24.174
1752570362.092851,35.577,19.800,24.174
1752570362.112933,35.658,19.835,24.174
1752570362.112933,35.658,19.835,24.174
1752570362.132976,35.738,19.869,24.174
1752570362.143140,35.779,19.887,24.112
1752570362.154428,35.824,19.906,24.112
1752570362.154428,35.824,19.906,24.112
1752570362.172992,35.898,19.938,24.112
1752570362.172992,35.898,19.938,24.112
1752570362.192981,35.978,19.972,24.112
1752570362.192981,35.978,19.972,24.112
1752570362.217828,36.077,20.014,24.075
1752570362.218678,36.080,20.016,24.036
1752570362.234511,36.143,20.043,24.036
1752570362.234511,36.143,20.043,24.036
1752570362.252722,36.216,20.073,24.036
1752570362.252722,36.216,20.073,24.036
1752570362.273079,36.296,20.108,24.036
1752570362.273079,36.296,20.108,24.036
1752570362.297415,36.392,20.148,23.959
1752570362.297415,36.392,20.148,23.959
1752570362.312847,36.452,20.174,23.959
1752570362.322799,36.491,20.191,23.959
1752570362.333040,36.531,20.208,23.959
1752570362.333040,36.531,20.208,23.959
1752570362.353069,36.610,20.241,23.959
1752570362.363415,36.650,20.258,23.959
1752570362.372922,36.687,20.274,23.890
1752570362.390197,36.754,20.302,23.890
1752570362.393727,36.768,20.308,23.890
1752570362.403358,36.805,20.323,23.890
1752570362.413101,36.843,20.339,23.890
1752570362.413101,36.843,20.339,23.890
1752570362.439829,36.947,20.383,23.890
1752570362.450258,36.987,20.400,23.890
1752570362.457462,37.015,20.412,23.842
1752570362.470680,37.065,20.433,23.830
1752570362.474143,37.079,20.438,23.805
1752570362.490392,37.141,20.464,23.805
1752570362.492633,37.150,20.468,23.805
1752570362.510391,37.218,20.496,23.805
1752570362.512531,37.226,20.500,23.805
1752570362.530459,37.295,20.528,23.805
1752570362.533245,37.305,20.533,23.692
1752570362.550418,37.371,20.560,23.692
1752570362.552675,37.380,20.564,23.692
1752570362.570314,37.447,20.591,23.692
1752570362.572674,37.456,20.595,23.692
1752570362.590494,37.524,20.623,23.692
1752570362.596759,37.547,20.633,23.584
1752570362.610645,37.600,20.655,23.584
1752570362.612554,37.607,20.657,23.584
1752570362.630627,37.675,20.685,23.584
1752570362.634925,37.691,20.692,23.584
1752570362.651427,37.753,20.717,23.584
1752570362.652616,37.757,20.719,23.584
1752570362.672505,37.831,20.749,23.584
1752570362.678086,37.852,20.758,23.463
1752570362.690418,37.898,20.777,23.463
1752570362.692798,37.907,20.780,23.463
1752570362.712662,37.981,20.810,23.463
1752570362.712662,37.981,20.810,23.463
1752570362.732462,38.054,20.840,23.463
1752570362.732462,38.054,20.840,23.463
1752570362.752405,38.128,20.869,23.463
1752570362.756538,38.143,20.876,23.355
1752570362.772497,38.202,20.899,23.355
1752570362.772497,38.202,20.899,23.355
1752570362.792918,38.277,20.929,23.355
1752570362.792918,38.277,20.929,23.355
1752570362.813060,38.351,20.958,23.355
1752570362.822734,38.386,20.973,23.355
1752570362.832834,38.423,20.987,23.355
1752570362.843967,38.463,21.003,23.260
1752570362.852214,38.493,21.015,23.260
1752570362.862614,38.531,21.030,23.260
1752570362.872911,38.568,21.045,23.260
1752570362.872911,38.568,21.045,23.260
1752570362.892247,38.638,21.072,23.260
1752570362.902519,38.675,21.087,23.260
1752570362.912691,38.712,21.101,23.260
1752570362.924086,38.753,21.117,23.208
1752570362.933992,38.789,21.131,23.117
1752570362.933992,38.789,21.131,23.117
1752570362.952770,38.856,21.157,23.117
1752570362.952770,38.856,21.157,23.117
1752570362.972630,38.927,21.185,23.117
1752570362.984301,38.969,21.201,22.993
1752570362.992479,38.998,21.213,22.953
1752570362.992479,38.998,21.213,22.953
1752570363.012368,39.069,21.240,22.953
1752570363.012368,39.069,21.240,22.953
1752570363.033835,39.146,21.269,22.953
1752570363.033835,39.146,21.269,22.953
1752570363.052752,39.213,21.295,22.953
1752570363.064368,39.254,21.311,22.787
1752570363.073077,39.285,21.322,22.787
1752570363.073077,39.285,21.322,22.787
1752570363.092631,39.354,21.349,22.787
1752570363.092631,39.354,21.349,22.787
1752570363.112221,39.422,21.375,22.787
1752570363.112221,39.422,21.375,22.787
1752570363.132969,39.495,21.403,22.787
1752570363.140705,39.522,21.413,22.645
1752570363.152903,39.565,21.429,22.645
1752570363.152903,39.565,21.429,22.645
1752570363.172791,39.635,21.455,22.645
1752570363.172791,39.635,21.455,22.645
1752570363.193211,39.705,21.482,22.645
1752570363.193211,39.705,21.482,22.645
1752570363.212519,39.772,21.507,22.645
1752570363.225389,39.816,21.524,22.609
1752570363.232669,39.841,21.533,22.490
1752570363.232669,39.841,21.533,22.490
1752570363.254262,39.916,21.561,22.490
1752570363.262541,39.944,21.572,22.490
1752570363.273087,39.981,21.586,22.490
1752570363.273087,39.981,21.586,22.490
1752570363.293257,40.050,21.612,22.490
1752570363.305602,40.092,21.628,22.452
1752570363.313794,40.120,21.638,22.337
1752570363.313794,40.120,21.638,22.337
1752570363.332613,40.184,21.662,22.337
1752570363.332613,40.184,21.662,22.337
