time_stamp,data_value
1752570362.089829,15.738118
1752570362.099220,15.738118
1752570362.109149,15.801070
1752570362.119881,15.769594
1752570362.130015,15.706641
1752570362.140009,15.675165
1752570362.150172,15.643689
1752570362.159472,15.643689
1752570362.168979,15.738118
1752570362.179801,15.706641
1752570362.189063,15.738118
1752570362.199199,15.580736
1752570362.209409,15.643689
1752570362.219342,15.517784
1752570362.230002,15.643689
1752570362.240127,15.643689
1752570362.249193,15.675165
1752570362.259353,15.580736
1752570362.269457,15.517784
1752570362.279628,15.517784
1752570362.289450,15.454832
1752570362.299212,15.549260
1752570362.309182,15.486308
1752570362.319555,15.423355
1752570362.330019,15.391879
1752570362.339784,15.297450
1752570362.349132,15.328927
1752570362.359558,15.360403
1752570362.368899,15.328927
1752570362.370270,15.328927
1752570362.380057,15.328927
1752570362.389761,15.171545
1752570362.399104,15.140069
1752570362.399484,15.140069
1752570362.409440,15.108593
1752570362.420493,15.077117
1752570362.431106,15.108593
1752570362.434312,15.108593
1752570362.439781,15.077117
1752570362.449506,15.140069
1752570362.449695,15.140069
1752570362.460531,15.108593
1752570362.469968,15.014164
1752570362.479240,15.014164
1752570362.489370,14.919736
1752570362.489450,14.919736
1752570362.498976,14.951212
1752570362.509240,14.951212
1752570362.519683,14.951212
1752570362.530017,14.982688
1752570362.530195,14.982688
1752570362.539190,14.919736
1752570362.549193,14.982688
1752570362.559030,14.919736
1752570362.569301,14.888259
1752570362.580041,14.888259
1752570362.589107,14.825307
1752570362.599396,14.856783
1752570362.600323,14.856783
1752570362.609333,14.825307
1752570362.619655,14.793831
1752570362.629878,14.699402
1752570362.639917,14.636450
1752570362.649042,14.636450
1752570362.649263,14.636450
1752570362.659245,14.636450
1752570362.669806,14.604973
1752570362.679398,14.573497
1752570362.689633,14.604973
1752570362.699509,14.604973
1752570362.709337,14.510545
1752570362.719481,14.510545
1752570362.729957,14.542021
1752570362.740211,14.510545
1752570362.749172,14.416116
1752570362.749310,14.416116
1752570362.759282,14.353164
1752570362.769311,14.384640
1752570362.779595,14.416116
1752570362.789164,14.384640
1752570362.799660,14.384640
1752570362.811073,14.353164
1752570362.811568,14.353164
1752570362.820412,14.290211
1752570362.822365,14.290211
1752570362.830615,14.227259
1752570362.832185,14.227259
1752570362.840847,14.258735
1752570362.851235,14.258735
1752570362.854292,14.258735
1752570362.859455,14.258735
1752570362.869557,14.164306
1752570362.879674,14.132830
1752570362.889804,14.069878
1752570362.899218,14.101354
1752570362.899495,14.101354
1752570362.909021,14.069878
1752570362.920094,14.069878
1752570362.929965,14.038401
1752570362.939012,13.975449
1752570362.942123,13.975449
1752570362.949666,13.943973
1752570362.959208,13.975449
1752570362.969225,13.943973
1752570362.979618,13.881020
1752570362.989255,13.912496
1752570362.999053,13.849544
1752570362.999207,13.849544
1752570363.009323,13.849544
1752570363.019049,13.786592
1752570363.029834,13.786592
1752570363.040151,13.786592
1752570363.049630,13.818068
1752570363.060619,13.786592
1752570363.061353,13.786592
1752570363.069535,13.723639
1752570363.069731,13.723639
1752570363.079286,13.692163
1752570363.079995,13.692163
1752570363.089159,13.660686
1752570363.099320,13.660686
1752570363.109102,13.692163
1752570363.109411,13.692163
1752570363.119519,13.692163
1752570363.130478,13.597733
1752570363.140025,13.471828
1752570363.149110,13.408876
1752570363.159215,13.408876
1752570363.169529,13.471828
