time_stamp,data_value
1752570362.089592,15.706641
1752570362.090003,15.706641
1752570362.099271,15.612213
1752570362.109193,15.580736
1752570362.120002,15.549260
1752570362.130048,15.612213
1752570362.140042,15.549260
1752570362.149959,15.580736
1752570362.150203,15.580736
1752570362.159534,15.612213
1752570362.169014,15.549260
1752570362.179820,15.549260
1752570362.189125,15.549260
1752570362.199230,15.549260
1752570362.209445,15.517784
1752570362.219379,15.517784
1752570362.229405,15.517784
1752570362.230055,15.517784
1752570362.240177,15.454832
1752570362.249232,15.423355
1752570362.259442,15.454832
1752570362.269609,15.328927
1752570362.279657,15.360403
1752570362.289561,15.328927
1752570362.299251,15.328927
1752570362.309208,15.297450
1752570362.319577,15.297450
1752570362.330049,15.328927
1752570362.339802,15.297450
1752570362.349159,15.077117
1752570362.359582,14.982688
1752570362.368930,14.951212
1752570362.370319,14.951212
1752570362.380083,15.045641
1752570362.389880,15.077117
1752570362.399674,15.140069
1752570362.409460,15.203022
1752570362.420979,15.045641
1752570362.431226,14.888259
1752570362.434344,14.888259
1752570362.439835,14.825307
1752570362.439850,14.825307
1752570362.449721,14.856783
1752570362.460743,14.919736
1752570362.470043,14.888259
1752570362.479181,14.919736
1752570362.479309,14.919736
1752570362.489532,14.793831
1752570362.499025,14.825307
1752570362.509291,14.730878
1752570362.519702,14.730878
1752570362.530225,14.825307
1752570362.539243,14.730878
1752570362.549149,14.762355
1752570362.549247,14.762355
1752570362.559092,14.667926
1752570362.569344,14.667926
1752570362.580099,14.667926
1752570362.589178,14.636450
1752570362.600353,14.667926
1752570362.609180,14.604973
1752570362.609369,14.604973
1752570362.619698,14.604973
1752570362.629929,14.510545
1752570362.629960,14.510545
1752570362.639977,14.510545
1752570362.649086,14.479069
1752570362.649288,14.479069
1752570362.659302,14.479069
1752570362.669405,14.479069
1752570362.669902,14.479069
1752570362.679469,14.416116
1752570362.689709,14.416116
1752570362.699460,14.321687
1752570362.699544,14.321687
1752570362.709369,14.353164
