time_stamp,x_acc,y_acc,z_acc,x_acc_bias,y_acc_bias,z_acc_bias,pitch,roll,yaw,pitch_std,roll_std,yaw_std,x_gyro,y_gyro,z_gyro,x_gyro_bias,y_gyro_bias,z_gyro_bias,x_mag,y_mag,z_mag,sensor_time_counter,operation_mode,linear_acceleration_enabled,turn_switch_enabled
1752570362.062682,0.500416,0.098115,-9.903744,0.000000,0.000000,0.000000,0.133972,-1.236475,-3.681529,0.000000,0.000000,0.000000,0.828915,0.573584,0.885531,0.169904,0.039257,-0.153511,-1.434223,0.782080,-4.393379,5947360,3,1,0
1752570362.072682,0.668972,0.298913,-9.824348,0.000000,0.000000,0.000000,0.139632,-1.229652,-3.671418,0.000000,0.000000,0.000000,0.916201,0.506082,0.813750,0.169904,0.039257,-0.153511,-1.463643,0.747757,-4.400734,5947370,3,1,0
1752570362.082682,0.580132,0.128331,-9.642138,0.000000,0.000000,0.000000,0.143393,-1.221597,-3.662400,0.000000,0.000000,0.000000,0.971451,0.311965,0.755797,0.169904,0.039257,-0.153511,-1.466094,0.691369,-4.403186,5947380,3,1,0
1752570362.092682,0.563135,0.060192,-9.710166,0.000000,0.000000,0.000000,0.145847,-1.214297,-3.652585,0.000000,0.000000,0.000000,0.779414,0.218419,0.939094,0.169904,0.039257,-0.153511,-1.436674,0.632529,-4.405638,5947390,3,1,0
1752570362.102682,0.547394,0.174480,-9.800476,0.000000,0.000000,0.000000,0.147263,-1.209130,-3.641057,0.000000,0.000000,0.000000,0.668112,0.091880,1.004854,0.169904,0.039257,-0.153511,-1.385189,0.568786,-4.410541,5947400,3,1,0
1752570362.112682,0.461796,0.182983,-9.620577,0.000000,0.000000,0.000000,0.147700,-1.203577,-3.629720,0.000000,0.000000,0.000000,0.790254,0.076919,0.947744,0.169907,0.039251,-0.153511,-1.341059,0.505042,-4.422799,5947410,3,1,0
1752570362.122682,0.425521,0.003820,-9.383363,0.000000,0.000000,0.000000,0.148773,-1.197121,-3.619046,0.000000,0.000000,0.000000,0.787229,0.125083,0.861122,0.169907,0.039251,-0.153511,-1.328801,0.456009,-4.437509,5947420,3,1,0
1752570362.132682,0.483476,-0.152998,-9.357974,0.000000,0.000000,0.000000,0.149954,-1.191460,-3.609102,0.000000,0.000000,0.000000,0.677399,0.153300,0.864341,0.169907,0.039251,-0.153511,-1.343511,0.436396,-4.449768,5947430,3,1,0
1752570362.142682,0.749286,0.010332,-9.494327,0.000000,0.000000,0.000000,0.151313,-1.186911,-3.598551,0.000000,0.000000,0.000000,0.590719,0.113525,0.934734,0.169907,0.039251,-0.153511,-1.370479,0.404524,-4.454671,5947440,3,1,0
1752570362.152682,0.886572,0.287179,-9.394850,0.000000,0.000000,0.000000,0.151234,-1.182505,-3.587477,0.000000,0.000000,0.000000,0.658959,-0.168592,0.963792,0.169907,0.039251,-0.153511,-1.402351,0.340781,-4.452219,5947450,3,1,0
1752570362.162682,0.751713,0.172255,-9.084729,0.000000,0.000000,0.000000,0.147249,-1.177151,-3.576140,0.000000,0.000000,0.000000,0.701967,-0.586229,0.993646,0.169907,0.039251,-0.153511,-1.431771,0.262328,-4.444864,5947460,3,1,0
1752570362.172682,0.555205,-0.168270,-8.998187,0.000000,0.000000,0.000000,0.139577,-1.172290,-3.564235,0.000000,0.000000,0.000000,0.579003,-0.865498,1.025790,0.169907,0.039251,-0.153511,-1.451384,0.183875,-4.435058,5947470,3,1,0
