time_stamp,data_value
1752570362.090578,15.832546
1752570362.110201,15.801070
1752570362.130361,15.832546
1752570362.130690,15.832546
1752570362.151161,15.738118
1752570362.170019,15.738118
1752570362.190410,15.643689
1752570362.210201,15.675165
1752570362.230582,15.643689
1752570362.231680,15.643689
1752570362.250906,15.517784
1752570362.271516,15.454832
1752570362.289998,15.423355
1752570362.310012,15.423355
1752570362.330114,15.360403
1752570362.350332,15.391879
1752570362.370538,15.234498
1752570362.390209,15.265974
1752570362.410373,15.234498
1752570362.435661,15.171545
1752570362.435709,15.171545
1752570362.450242,15.203022
1752570362.470623,15.140069
1752570362.490376,15.108593
1752570362.510377,15.140069
1752570362.530443,15.077117
1752570362.550387,14.982688
1752570362.570290,14.951212
1752570362.590463,14.888259
1752570362.610627,14.825307
1752570362.630609,14.699402
1752570362.651388,14.542021
1752570362.670340,14.510545
1752570362.690399,14.542021
1752570362.711229,14.447592
1752570362.730319,14.479069
1752570362.751518,14.384640
1752570362.770324,14.321687
1752570362.790390,14.258735
1752570362.812878,14.227259
1752570362.831998,14.164306
1752570362.852184,14.227259
1752570362.870437,14.038401
1752570362.890344,14.038401
1752570362.910205,14.006925
1752570362.930444,13.975449
1752570362.950932,13.975449
1752570362.970513,13.912496
1752570362.990405,13.881020
1752570363.010581,13.849544
1752570363.030541,13.786592
1752570363.051137,13.755115
1752570363.070458,13.723639
1752570363.090697,13.660686
1752570363.110510,13.629210
1752570363.131943,13.534781
1752570363.151712,13.566257
1752570363.171094,13.534781
1752570363.191640,13.408876
1752570363.211534,13.408876
1752570363.230692,13.377400
1752570363.251424,13.282971
1752570363.271085,13.345923
1752570363.271191,13.345923
1752570363.291938,13.220019
1752570363.311238,13.251495
1752570363.330917,13.251495
1752570363.351085,13.094114
1752570363.371102,13.094114
1752570363.391409,13.157066
1752570363.411147,12.968209
1752570363.430884,12.968209
1752570363.450016,12.968209
1752570363.469985,12.873780
1752570363.491551,12.810828
1752570363.510243,12.842304
1752570363.530721,12.684923
1752570363.550785,12.716399
1752570363.570622,12.716399
1752570363.590038,12.653446
1752570363.610175,12.621970
1752570363.630996,12.590494
1752570363.650243,12.559018
1752570363.669995,12.559018
1752570363.690061,12.496065
1752570363.710054,12.464589
1752570363.730303,12.401637
1752570363.730561,12.401637
1752570363.749799,12.370160
1752570363.771429,12.275732
1752570363.790177,12.307208
1752570363.810611,12.275732
1752570363.830594,12.181303
1752570363.849906,12.212779
1752570363.870019,12.244256
1752570363.890061,12.212779
1752570363.911933,11.960970
1752570363.913096,11.960970
1752570363.930244,12.086874
1752570363.950800,12.149827
1752570363.969968,11.992446
1752570363.970066,11.992446
1752570363.990331,11.992446
1752570364.010538,12.055398
1752570364.030293,11.929493
1752570364.050079,11.960970
1752570364.071104,11.929493
1752570364.090302,11.803588
1752570364.112490,11.835065
1752570364.113224,11.835065
1752570364.131270,11.803588
1752570364.150571,11.803588
1752570364.151950,11.803588
1752570364.170881,11.740636
1752570364.189861,11.709160
1752570364.209870,11.677683
1752570364.230212,11.646207
1752570364.250304,11.614731
1752570364.270912,11.614731
1752570364.290389,11.551779
1752570364.310706,11.488826
1752570364.330613,11.488826
1752570364.350661,11.488826
1752570364.351362,11.488826
1752570364.371393,11.457350
1752570364.391397,11.394397
1752570364.391727,11.394397
1752570364.410770,11.394397
1752570364.431313,11.394397
1752570364.431391,11.394397
1752570364.450710,11.362921
1752570364.471803,11.362921
