time_stamp,data_value
1752570362.090623,15.706641
1752570362.110257,15.580736
1752570362.130766,15.612213
1752570362.151282,15.580736
1752570362.170106,15.549260
1752570362.190422,15.549260
1752570362.190504,15.549260
1752570362.210235,15.517784
1752570362.230795,15.517784
1752570362.231818,15.517784
1752570362.251049,15.423355
1752570362.271294,15.328927
1752570362.271729,15.328927
1752570362.290036,15.328927
1752570362.310049,15.297450
1752570362.330147,15.328927
1752570362.350416,15.077117
1752570362.370217,14.951212
1752570362.370574,14.951212
1752570362.390258,15.077117
1752570362.410509,15.203022
1752570362.435832,14.888259
1752570362.450273,14.856783
1752570362.471060,14.888259
1752570362.471339,14.888259
1752570362.490409,14.793831
1752570362.510418,14.730878
1752570362.530474,14.825307
1752570362.550434,14.762355
1752570362.570338,14.667926
1752570362.590562,14.636450
1752570362.610661,14.604973
1752570362.630723,14.510545
1752570362.651412,14.479069
1752570362.651447,14.479069
1752570362.670419,14.479069
1752570362.690451,14.416116
1752570362.711292,14.353164
1752570362.730361,14.321687
1752570362.751555,14.227259
1752570362.770403,14.132830
1752570362.790427,14.164306
1752570362.813181,14.038401
1752570362.831790,14.006925
1752570362.832238,14.006925
1752570362.852245,13.943973
1752570362.870544,13.912496
1752570362.890374,13.881020
1752570362.910248,13.849544
1752570362.930497,13.786592
1752570362.950973,13.755115
1752570362.970694,13.723639
1752570362.990508,13.723639
1752570363.010442,13.660686
1752570363.010616,13.660686
1752570363.030629,13.597733
1752570363.051203,13.534781
1752570363.070598,13.503305
1752570363.090762,13.471828
1752570363.110637,13.440352
1752570363.131990,13.408876
1752570363.151768,13.408876
1752570363.171144,13.188542
1752570363.191409,13.094114
1752570363.191689,13.094114
1752570363.211572,13.251495
1752570363.230734,13.345923
1752570363.251476,13.125590
1752570363.271253,13.031161
1752570363.291981,13.094114
1752570363.311300,13.031161
1752570363.330964,12.905256
1752570363.351160,12.936732
1752570363.371150,12.936732
1752570363.391445,12.842304
1752570363.411213,12.747875
1752570363.431002,12.779351
1752570363.450046,12.716399
1752570363.470024,12.684923
1752570363.491848,12.653446
1752570363.510371,12.716399
1752570363.530810,12.684923
1752570363.550875,12.590494
1752570363.570664,12.559018
1752570363.590082,12.653446
1752570363.610203,12.464589
1752570363.630987,12.464589
1752570363.631444,12.464589
1752570363.650301,12.527542
1752570363.670086,12.496065
1752570363.690172,12.401637
1752570363.710106,12.370160
1752570363.730360,12.307208
1752570363.730610,12.307208
1752570363.749828,12.275732
1752570363.771564,12.275732
1752570363.790251,12.275732
1752570363.811072,12.212779
1752570363.830646,12.181303
1752570363.849914,12.181303
1752570363.849962,12.181303
1752570363.869997,12.149827
1752570363.870056,12.149827
1752570363.890113,12.118351
1752570363.913377,12.055398
1752570363.930283,11.992446
1752570363.950877,11.960970
1752570363.970151,11.960970
1752570363.990416,11.960970
1752570364.010732,11.866541
1752570364.030426,11.835065
1752570364.050152,11.803588
1752570364.071230,11.772112
1752570364.090350,11.740636
1752570364.112671,11.709160
1752570364.113767,11.709160
1752570364.131331,11.677683
1752570364.150630,11.709160
1752570364.152184,11.709160
1752570364.171042,11.646207
1752570364.189905,11.646207
1752570364.209912,11.583255
1752570364.230253,11.551779
1752570364.250347,11.425874
1752570364.270992,11.394397
1752570364.290424,11.394397
1752570364.310778,11.362921
1752570364.330651,11.331445
1752570364.350770,11.331445
1752570364.351975,11.331445
1752570364.371446,11.205540
1752570364.391827,11.237016
1752570364.411010,11.174064
1752570364.431461,11.111111
1752570364.450773,11.048159
1752570364.471904,11.048159
1752570364.490718,11.079635
1752570364.510235,10.985207
1752570364.510751,10.985207
1752570364.531543,10.985207
1752570364.550113,10.890778
1752570364.570042,10.859302
1752570364.590139,10.922254
1752570364.612004,10.827825
1752570364.630738,10.764873
1752570364.650288,10.733397
1752570364.670222,10.701921
1752570364.690389,10.638968
1752570364.710294,10.607491
1752570364.730709,10.576015
1752570364.731170,10.576015
1752570364.751057,10.544538
1752570364.752650,10.544538
1752570364.770626,10.513062
1752570364.790543,10.450110
1752570364.810060,10.450110
1752570364.830550,10.418633
1752570364.850081,10.355681
1752570364.870528,10.387157
1752570364.870822,10.387157
1752570364.890066,10.324205
1752570364.910215,10.261252
1752570364.931481,10.198300
1752570364.950712,10.198300
1752570364.969968,10.103871
1752570364.970180,10.103871
1752570364.990488,10.103871
1752570365.010007,10.072395
1752570365.010282,10.072395
1752570365.030619,10.072395
1752570365.052198,9.977966
1752570365.070928,9.977966
1752570365.090156,9.915014
1752570365.090801,9.915014
1752570365.109961,9.883538
1752570365.130457,9.852061
1752570365.149947,9.852061
1752570365.170874,9.789109
1752570365.190168,9.757633
1752570365.210007,9.726157
1752570365.230558,9.663204
1752570365.250288,9.663204
1752570365.270041,9.631728
1752570365.290287,9.600252
1752570365.310220,9.568775
1752570365.330378,9.537299
1752570365.350021,9.474347
1752570365.370181,9.474347
1752570365.390030,9.411394
1752570365.410072,9.411394
1752570365.431575,9.348442
1752570365.432985,9.348442
1752570365.450668,9.285489
1752570365.470414,9.316966
1752570365.490103,9.285489
1752570365.509957,9.191061
1752570365.531067,9.191061
1752570365.550227,9.159584
1752570365.570920,9.159584
1752570365.571275,9.159584
1752570365.591033,9.159584
1752570365.611127,9.065156
1752570365.630694,9.065156
1752570365.630853,9.065156
1752570365.650843,9.002203
1752570365.650960,9.002203
1752570365.671125,8.939251
1752570365.691932,8.939251
1752570365.710830,8.907775
1752570365.713775,8.907775
1752570365.732363,8.876298
1752570365.733352,8.876298
1752570365.750714,8.844822
1752570365.771802,8.844822
1752570365.790359,8.781870
1752570365.810486,8.750394
1752570365.830912,8.750394
1752570365.850339,8.687441
1752570365.850852,8.687441
1752570365.871499,8.655965
1752570365.893765,8.624489
1752570365.897336,8.624489
1752570365.910291,8.593012
1752570365.930243,8.561536
1752570365.950332,8.530060
1752570365.971252,8.530060
1752570365.990452,8.467108
1752570366.011611,8.435631
1752570366.030588,8.404155
1752570366.031235,8.404155
1752570366.050553,8.372679
1752570366.051461,8.372679
1752570366.070476,8.372679
1752570366.090064,8.309726
1752570366.110636,8.278250
1752570366.110791,8.278250
1752570366.130358,8.246774
1752570366.150832,8.215298
1752570366.170149,8.183822
1752570366.190543,8.120869
1752570366.210040,8.120869
1752570366.231244,8.089393
1752570366.253068,8.089393
1752570366.274468,8.057917
1752570366.276687,8.057917
1752570366.293844,8.026440
1752570366.294333,8.026440
1752570366.311646,7.963488
1752570366.330139,7.932011
1752570366.330544,7.932011
1752570366.350299,7.932011
1752570366.370874,7.900535
1752570366.390263,7.869059
1752570366.409934,7.869059
1752570366.410151,7.869059
1752570366.430542,7.806107
1752570366.450885,7.806107
1752570366.470600,7.774630
1752570366.490323,7.711678
1752570366.512188,7.743154
1752570366.512403,7.743154
1752570366.534551,7.711678
1752570366.536493,7.711678
1752570366.550341,7.617249
1752570366.570037,7.648725
1752570366.589728,7.585773
1752570366.610079,7.554296
1752570366.631298,7.522820
1752570366.651392,7.522820
1752570366.670694,7.491344
1752570366.670885,7.491344
1752570366.690906,7.459868
1752570366.690958,7.459868
1752570366.709970,7.428391
1752570366.731345,7.365439
1752570366.750515,7.365439
1752570366.774583,7.333963
1752570366.791155,7.333963
1752570366.795275,7.333963
1752570366.813278,7.302486
1752570366.813809,7.302486
1752570366.830786,7.302486
1752570366.831059,7.302486
1752570366.850888,7.239534
1752570366.869965,7.239534
1752570366.870277,7.239534
1752570366.890317,7.208058
1752570366.910292,7.176582
1752570366.910691,7.176582
1752570366.930799,7.145105
1752570366.953006,7.113629
1752570366.954475,7.113629
1752570366.969922,7.113629
1752570366.990224,7.050677
1752570367.010191,6.987724
1752570367.032246,6.956248
1752570367.051449,6.956248
1752570367.071314,6.956248
1752570367.090495,6.924772
1752570367.091749,6.924772
1752570367.110704,6.893296
1752570367.131315,6.924772
1752570367.150610,6.861819
1752570367.170472,6.830343
1752570367.190430,6.798867
1752570367.190646,6.798867
1752570367.210258,6.798867
1752570367.230322,6.735914
1752570367.250756,6.735914
1752570367.270025,6.704438
1752570367.290414,6.672962
1752570367.291940,6.672962
1752570367.310771,6.672962
1752570367.330736,6.610010
1752570367.331680,6.610010
1752570367.350261,6.610010
1752570367.369879,6.610010
1752570367.389913,6.578533
1752570367.410158,6.547057
1752570367.431024,6.547057
1752570367.450989,6.515581
1752570367.451992,6.515581
1752570367.470576,6.484105
1752570367.471337,6.484105
1752570367.490373,6.484105
1752570367.510877,6.452628
1752570367.530703,6.421152
1752570367.550219,6.389676
1752570367.571047,6.389676
1752570367.590603,6.358200
1752570367.591492,6.358200
1752570367.611198,6.295247
1752570367.613279,6.295247
1752570367.631002,6.263771
1752570367.650462,6.295247
1752570367.669968,6.263771
1752570367.690002,6.232295
1752570367.713356,6.200819
1752570367.713877,6.200819
1752570367.732223,6.169342
1752570367.750812,6.137866
1752570367.771220,6.106390
1752570367.790163,6.074914
1752570367.810511,6.074914
1752570367.831204,6.011961
1752570367.852415,6.011961
1752570367.871800,5.949008
1752570367.892884,5.917532
1752570367.894705,5.917532
1752570367.910726,5.917532
1752570367.911062,5.917532
1752570367.930765,5.886056
1752570367.950465,5.854580
1752570367.971437,5.823103
1752570367.990418,5.823103
1752570368.010689,5.760151
1752570368.030448,5.760151
1752570368.031002,5.760151
1752570368.050687,5.728675
1752570368.069875,5.728675
1752570368.091231,5.665722
1752570368.092317,5.665722
1752570368.112360,5.665722
1752570368.131014,5.634246
1752570368.131655,5.634246
1752570368.151110,5.602770
1752570368.170446,5.571294
1752570368.190739,5.539817
1752570368.210208,5.508341
1752570368.230664,5.476865
1752570368.252634,5.413912
1752570368.253449,5.413912
1752570368.270402,5.413912
1752570368.290240,5.413912
1752570368.291131,5.413912
1752570368.309986,5.350960
1752570368.330316,5.350960
1752570368.349931,5.319484
1752570368.370235,5.288008
1752570368.390429,5.256531
1752570368.410541,5.256531
1752570368.431679,5.225055
1752570368.451086,5.193579
1752570368.470628,5.193579
1752570368.491383,5.193579
1752570368.493400,5.193579
1752570368.510127,5.099150
1752570368.530150,5.099150
1752570368.550018,5.099150
1752570368.570438,5.036198
1752570368.571215,5.036198
1752570368.590210,5.004722
1752570368.610472,4.973245
1752570368.630740,4.973245
1752570368.650286,4.973245
1752570368.650386,4.973245
1752570368.670390,4.941769
1752570368.690724,4.910293
1752570368.710339,4.910293
1752570368.711233,4.910293
1752570368.730477,4.878817
1752570368.732451,4.878817
1752570368.750814,4.815864
1752570368.770503,4.815864
1752570368.790316,4.784388
1752570368.810121,4.752912
1752570368.830718,4.721436
1752570368.852391,4.721436
1752570368.871234,4.658483
1752570368.890023,4.627007
1752570368.890042,4.627007
1752570368.910156,4.627007
1752570368.930224,4.627007
1752570368.950624,4.595531
1752570368.970110,4.564054
1752570368.990707,4.501101
1752570369.010598,4.501101
1752570369.030550,4.501101
1752570369.050592,4.469625
1752570369.070693,4.438149
1752570369.092049,4.406673
1752570369.111570,4.375197
1752570369.131435,4.343720
1752570369.151143,4.312244
1752570369.151354,4.312244
1752570369.170687,4.280768
1752570369.190688,4.280768
1752570369.210784,4.249292
1752570369.232282,4.186339
1752570369.250692,4.154863
1752570369.271519,4.154863
1752570369.290272,4.091911
1752570369.310563,4.060434
1752570369.330982,4.060434
1752570369.350354,3.997482
1752570369.370302,3.966006
1752570369.390443,3.934530
1752570369.410533,3.934530
1752570369.430742,3.903053
1752570369.450553,3.871577
1752570369.470153,3.871577
1752570369.490408,3.840101
1752570369.510040,3.777148
1752570369.530154,3.745672
1752570369.550306,3.745672
1752570369.570183,3.714196
1752570369.590340,3.682719
1752570369.610276,3.651243
1752570369.631649,3.588291
1752570369.649943,3.588291
1752570369.670435,3.556815
1752570369.690933,3.556815
1752570369.710510,3.493862
1752570369.710738,3.493862
1752570369.730816,3.462386
1752570369.732097,3.462386
1752570369.750530,3.462386
1752570369.770713,3.399433
1752570369.790238,3.336481
1752570369.810113,3.336481
1752570369.830952,3.336481
1752570369.855204,3.305005
1752570369.856860,3.305005
1752570369.870186,3.273529
1752570369.870249,3.273529
1752570369.890318,3.210576
1752570369.910396,3.179100
1752570369.930517,3.179100
1752570369.950351,3.147624
1752570369.970716,3.084671
1752570369.991337,3.053195
1752570370.009906,3.053195
1752570370.030336,2.990242
1752570370.050075,2.927290
1752570370.070689,2.895814
1752570370.071885,2.895814
1752570370.090437,2.895814
1752570370.110414,2.832861
1752570370.130685,2.738432
1752570370.152004,2.738432
1752570370.170784,2.706956
1752570370.171417,2.706956
1752570370.191769,2.612528
1752570370.210817,2.612528
1752570370.231540,2.549575
1752570370.252183,2.486623
1752570370.271903,2.486623
1752570370.291316,2.423670
1752570370.291375,2.423670
1752570370.311547,2.423670
1752570370.330427,2.329242
1752570370.350152,2.329242
1752570370.370829,2.234813
1752570370.390910,2.234813
1752570370.391579,2.234813
1752570370.412552,2.171860
1752570370.412789,2.171860
1752570370.432243,2.171860
1752570370.450585,2.077431
1752570370.470269,2.077431
1752570370.490678,1.983003
1752570370.510299,1.983003
1752570370.530225,1.857098
1752570370.550167,1.857098
1752570370.569950,1.762669
1752570370.590471,1.762669
1752570370.610233,1.762669
1752570370.630481,1.636764
1752570370.650291,1.636764
1752570370.670275,1.542336
1752570370.690271,1.542336
1752570370.710640,1.542336
1752570370.730577,1.416431
1752570370.752006,1.416431
1752570370.770236,1.416431
1752570370.790536,1.322002
1752570370.810135,1.259049
1752570370.830518,1.259049
1752570370.849771,1.259049
1752570370.871081,1.101668
1752570370.890115,1.101668
1752570370.910310,1.101668
1752570370.930164,1.101668
1752570370.950195,1.007240
1752570370.950351,1.007240
1752570370.970398,0.944287
1752570370.990437,0.944287
1752570371.010402,0.944287
1752570371.030670,0.944287
1752570371.050923,0.881335
1752570371.070682,0.786906
1752570371.090714,0.723953
1752570371.090930,0.723953
1752570371.110597,0.692477
1752570371.131216,0.692477
1752570371.151918,0.692477
1752570371.154056,0.692477
1752570371.171204,0.692477
1752570371.190787,0.692477
1752570371.210719,0.629525
1752570371.230606,0.598048
1752570371.253781,0.535096
1752570371.271600,0.503620
1752570371.290813,0.472144
1752570371.311111,0.440667
1752570371.331013,0.409191
1752570371.331093,0.409191
1752570371.351455,0.409191
1752570371.372080,0.377715
1752570371.391612,0.346239
1752570371.393030,0.346239
1752570371.410704,0.346239
1752570371.411004,0.346239
1752570371.431025,0.314762
1752570371.450116,0.314762
1752570371.470308,0.314762
1752570371.490345,0.283286
1752570371.510445,0.283286
1752570371.530523,0.251810
1752570371.550696,0.251810
1752570371.570456,0.251810
1752570371.590042,0.251810
1752570371.610253,0.220334
1752570371.631431,0.220334
1752570371.650298,0.220334
1752570371.670717,0.220334
1752570371.690243,0.220334
1752570371.691321,0.220334
1752570371.710322,0.188857
1752570371.731009,0.188857
1752570371.750159,0.188857
1752570371.750697,0.188857
1752570371.770169,0.188857
1752570371.792527,0.188857
1752570371.809853,0.188857
1752570371.830308,0.157381
1752570371.830609,0.157381
1752570371.850067,0.157381
1752570371.870211,0.157381
1752570371.890303,0.157381
1752570371.910131,0.157381
1752570371.910425,0.157381
1752570371.930453,0.157381
1752570371.930562,0.157381
1752570371.950551,0.157381
1752570371.970196,0.157381
1752570371.990593,0.125905
1752570372.010703,0.125905
1752570372.030530,0.125905
1752570372.031451,0.125905
1752570372.052775,0.125905
1752570372.057645,0.125905
1752570372.070515,0.125905
1752570372.090923,0.125905
1752570372.110527,0.125905
1752570372.130705,0.125905
1752570372.150540,0.125905
1752570372.171010,0.125905
1752570372.172460,0.125905
1752570372.190368,0.125905
1752570372.210526,0.125905
1752570372.230626,0.125905
1752570372.250985,0.094429
1752570372.270981,0.094429
1752570372.290444,0.094429
1752570372.312816,0.094429
1752570372.330891,0.094429
1752570372.352058,0.094429
1752570372.370605,0.094429
1752570372.390224,0.094429
1752570372.410490,0.094429
1752570372.411306,0.094429
1752570372.430584,0.094429
1752570372.430968,0.094429
1752570372.450361,0.094429
1752570372.470548,0.094429
1752570372.472104,0.094429
1752570372.491909,0.094429
1752570372.512736,0.094429
1752570372.530908,0.094429
1752570372.550923,0.094429
1752570372.571679,0.094429
1752570372.591037,0.094429
1752570372.591902,0.094429
1752570372.611197,0.094429
1752570372.630921,0.094429
1752570372.650774,0.094429
1752570372.670760,0.062952
1752570372.690557,0.062952
1752570372.711655,0.062952
1752570372.712326,0.062952
1752570372.732011,0.062952
1752570372.750201,0.062952
1752570372.750967,0.062952
1752570372.769919,0.062952
1752570372.790055,0.062952
1752570372.810134,0.062952
1752570372.832230,0.062952
1752570372.850312,0.062952
1752570372.871139,0.062952
1752570372.872931,0.062952
1752570372.890038,0.062952
1752570372.909850,0.062952
1752570372.930410,0.062952
1752570372.951181,0.062952
1752570372.969889,0.062952
1752570372.970789,0.062952
1752570372.991575,0.062952
1752570373.011584,0.062952
1752570373.030826,0.062952
1752570373.049882,0.062952
1752570373.050673,0.062952
1752570373.070307,0.062952
1752570373.070464,0.062952
1752570373.090779,0.062952
1752570373.110010,0.062952
1752570373.110385,0.062952
1752570373.132622,0.062952
1752570373.149988,0.062952
1752570373.170052,0.062952
1752570373.190005,0.062952
1752570373.210239,0.062952
1752570373.230305,0.062952
1752570373.250121,0.062952
1752570373.271119,0.062952
1752570373.271195,0.062952
1752570373.290574,0.062952
1752570373.310062,0.062952
1752570373.330347,0.062952
1752570373.350113,0.062952
1752570373.370566,0.062952
1752570373.371561,0.062952
1752570373.390797,0.062952
1752570373.410116,0.062952
1752570373.430418,0.062952
1752570373.450289,0.062952
1752570373.470056,0.062952
1752570373.490944,0.062952
1752570373.513380,0.062952
1752570373.531191,0.031476
1752570373.551390,0.031476
1752570373.570009,0.031476
1752570373.590050,0.031476
1752570373.613434,0.031476
1752570373.630456,0.031476
1752570373.650674,0.031476
1752570373.670210,0.031476
1752570373.690450,0.031476
1752570373.710051,0.031476
1752570373.734572,0.031476
1752570373.737053,0.031476
1752570373.750736,0.031476
1752570373.752471,0.031476
1752570373.773371,0.031476
1752570373.779340,0.031476
1752570373.790923,0.031476
1752570373.791340,0.031476
1752570373.811207,0.031476
1752570373.831323,0.031476
1752570373.851276,0.031476
1752570373.872070,0.031476
1752570373.891171,0.031476
1752570373.911526,0.031476
1752570373.931567,0.031476
1752570373.950456,0.031476
1752570373.951367,0.031476
1752570373.971488,0.031476
1752570373.990392,0.031476
1752570374.011027,0.031476
1752570374.031512,0.031476
1752570374.032207,0.031476
1752570374.051410,0.031476
