time_stamp,data_value
1752570362.092923,18.966667
1752570362.112995,18.833334
1752570362.132840,18.766666
1752570362.133021,18.766666
1752570362.153521,18.766666
1752570362.154573,18.766666
1752570362.173103,18.700001
1752570362.193027,18.633333
1752570362.193036,18.633333
1752570362.213070,18.700001
1752570362.233467,18.700001
1752570362.234581,18.700001
1752570362.252821,18.500000
1752570362.273138,18.500000
1752570362.292769,18.566668
1752570362.312983,18.566668
1752570362.322838,18.566668
1752570362.333087,18.400000
1752570362.353138,18.466667
1752570362.364133,18.466667
1752570362.372826,18.400000
1752570362.372957,18.400000
1752570362.393314,18.266666
1752570362.393773,18.266666
1752570362.403464,18.266666
1752570362.412880,18.333334
1752570362.413164,18.333334
1752570362.437428,18.333334
1752570362.439964,18.333334
1752570362.455507,18.266666
1752570362.473422,18.133333
1752570362.492702,18.200001
1752570362.513144,18.133333
1752570362.532637,18.066668
1752570362.552681,18.066668
1752570362.552732,18.066668
1752570362.572730,18.000000
1752570362.592828,17.900000
1752570362.612585,17.966667
1752570362.633166,17.966667
1752570362.635016,17.966667
1752570362.652670,17.766666
1752570362.673373,17.833334
1752570362.693105,17.766666
1752570362.712706,17.633333
1752570362.732510,17.700001
1752570362.752449,17.700001
1752570362.772529,17.500000
1752570362.792497,17.500000
1752570362.793029,17.500000
1752570362.816535,17.566668
1752570362.822787,17.566668
1752570362.833882,17.400000
1752570362.854633,17.466667
1752570362.862672,17.466667
1752570362.872992,17.333334
1752570362.892306,17.266666
1752570362.902563,17.266666
1752570362.912735,17.266666
1752570362.932932,17.200001
1752570362.934315,17.200001
1752570362.952836,17.200001
1752570362.972670,17.133333
1752570362.992506,17.066668
1752570362.992529,17.066668
1752570363.012438,17.000000
1752570363.032431,16.900000
1752570363.033894,16.900000
1752570363.052795,16.966667
1752570363.073155,16.966667
1752570363.092672,16.766666
1752570363.112272,16.766666
1752570363.132997,16.700001
1752570363.153312,16.633333
1752570363.153409,16.633333
1752570363.172831,16.566668
1752570363.193338,16.566668
1752570363.212600,16.500000
1752570363.222354,16.500000
1752570363.232783,16.400000
1752570363.254304,16.466667
1752570363.262617,16.466667
1752570363.273134,16.333334
1752570363.293077,16.266666
1752570363.293293,16.266666
1752570363.303853,16.266666
1752570363.312840,16.333334
1752570363.332644,16.133333
1752570363.332665,16.133333
1752570363.352765,16.133333
1752570363.372983,16.066668
1752570363.392915,16.066668
1752570363.413013,15.900000
1752570363.433216,15.900000
1752570363.434905,15.900000
1752570363.454176,15.966666
1752570363.472681,15.766666
1752570363.493160,15.833333
1752570363.494333,15.833333
1752570363.513877,15.700000
1752570363.533278,15.633333
1752570363.553692,15.633333
1752570363.573297,15.566667
1752570363.574415,15.566667
1752570363.593130,15.566667
1752570363.613050,15.500000
1752570363.622931,15.500000
1752570363.633908,15.466666
1752570363.654201,15.400000
1752570363.663783,15.400000
1752570363.672015,15.266666
1752570363.673401,15.266666
1752570363.693248,15.333333
1752570363.702476,15.333333
1752570363.712424,15.333333
1752570363.732553,15.133333
1752570363.732812,15.133333
1752570363.752117,15.133333
1752570363.772368,15.200000
1752570363.792077,15.000000
1752570363.812579,15.066667
1752570363.832327,14.966666
1752570363.833822,14.966666
1752570363.852444,14.900000
1752570363.872100,14.900000
1752570363.892412,14.833333
1752570363.914625,14.833333
1752570363.915173,14.833333
1752570363.932088,14.766666
1752570363.952252,14.700000
1752570363.972342,14.633333
1752570363.992311,14.633333
1752570364.012525,14.566667
1752570364.031946,14.566667
1752570364.034224,14.566667
1752570364.052471,14.500000
1752570364.072268,14.500000
1752570364.082548,14.500000
1752570364.092820,14.466666
1752570364.113976,14.400000
1752570364.122499,14.400000
1752570364.132683,14.466666
1752570364.152805,14.333333
1752570364.162705,14.333333
1752570364.172496,14.266666
1752570364.192481,14.266666
1752570364.211925,14.200000
1752570364.231691,14.200000
1752570364.233002,14.200000
1752570364.253172,14.133333
1752570364.254127,14.133333
1752570364.272214,14.200000
1752570364.293279,14.000000
1752570364.312351,14.000000
1752570364.332331,14.066667
1752570364.352927,13.966666
1752570364.372756,13.900000
1752570364.392926,13.900000
1752570364.412616,13.833333
1752570364.432379,13.766666
1752570364.433803,13.766666
1752570364.453470,13.833333
1752570364.472692,13.833333
1752570364.492812,13.633333
1752570364.512615,13.633333
1752570364.512943,13.633333
1752570364.532942,13.700000
1752570364.552814,13.566667
1752570364.573216,13.500000
1752570364.592794,13.566667
1752570364.612797,13.500000
1752570364.622729,13.500000
1752570364.632751,13.400000
1752570364.653601,13.466666
1752570364.663607,13.466666
1752570364.672756,13.466666
1752570364.692807,13.266666
1752570364.703404,13.266666
1752570364.712777,13.266666
1752570364.734691,13.333333
1752570364.737369,13.333333
1752570364.753196,13.133333
1752570364.773167,13.200000
1752570364.793007,13.200000
1752570364.811994,13.133333
1752570364.832402,13.000000
1752570364.834055,13.000000
1752570364.853830,13.066667
1752570364.872357,13.066667
1752570364.892597,12.900000
1752570364.911746,12.966666
1752570364.933106,12.900000
1752570364.953058,12.766666
1752570364.972318,12.833333
1752570364.992486,12.833333
1752570365.012098,12.766666
1752570365.032116,12.633333
1752570365.034005,12.633333
1752570365.052656,12.700000
1752570365.053382,12.700000
1752570365.072300,12.633333
1752570365.092902,12.566667
1752570365.111745,12.566667
1752570365.132024,12.500000
1752570365.152126,12.500000
1752570365.161590,12.500000
1752570365.172880,12.466666
1752570365.192491,12.466666
1752570365.200796,12.466666
1752570365.212451,12.400000
1752570365.231139,12.333333
1752570365.240933,12.333333
1752570365.252843,12.266666
1752570365.271705,12.266666
1752570365.291566,12.200000
1752570365.292114,12.200000
1752570365.311930,12.200000
1752570365.331203,12.133333
1752570365.351211,12.000000
1752570365.351367,12.000000
1752570365.371734,12.066667
1752570365.392609,12.000000
1752570365.411906,11.966666
1752570365.433796,11.966666
1752570365.437770,11.966666
1752570365.452129,11.900000
1752570365.471594,11.900000
1752570365.491629,11.833333
1752570365.512009,11.833333
1752570365.532514,11.766666
1752570365.552262,11.700000
1752570365.572546,11.633333
1752570365.572791,11.633333
1752570365.593475,11.633333
1752570365.613315,11.566667
1752570365.632411,11.566667
1752570365.634434,11.566667
1752570365.653614,11.500000
1752570365.672468,11.500000
1752570365.680560,11.500000
1752570365.693201,11.466666
1752570365.693599,11.466666
1752570365.716860,11.400000
1752570365.720760,11.400000
1752570365.733601,11.466666
1752570365.752849,11.333333
1752570365.761029,11.333333
1752570365.772789,11.266666
1752570365.793081,11.266666
1752570365.812096,11.200000
1752570365.812180,11.200000
1752570365.832499,11.200000
1752570365.834754,11.200000
1752570365.836825,11.200000
1752570365.853782,11.133333
1752570365.854980,11.133333
1752570365.875031,11.200000
1752570365.898182,11.000000
1752570365.910933,11.000000
1752570365.931337,11.066667
1752570365.951395,10.966666
1752570365.972491,10.900000
1752570365.973197,10.900000
1752570365.991221,10.900000
1752570366.011669,10.966666
1752570366.032384,10.766666
1752570366.034376,10.766666
1752570366.051510,10.833333
1752570366.052217,10.833333
1752570366.072252,10.833333
1752570366.072435,10.833333
1752570366.091558,10.633333
1752570366.112299,10.633333
1752570366.131251,10.700000
1752570366.131299,10.700000
1752570366.151215,10.700000
1752570366.151979,10.700000
1752570366.172072,10.500000
1752570366.191843,10.566667
1752570366.211409,10.500000
1752570366.212519,10.500000
1752570366.223886,10.500000
1752570366.232557,10.400000
1752570366.234849,10.400000
1752570366.255972,10.466666
1752570366.256350,10.466666
1752570366.264991,10.466666
1752570366.274549,10.466666
1752570366.276567,10.466666
1752570366.295111,10.400000
1752570366.295398,10.400000
1752570366.300967,10.400000
1752570366.312395,10.266666
1752570366.331606,10.333333
1752570366.351488,10.266666
1752570366.371784,10.200000
1752570366.391085,10.200000
1752570366.411528,10.133333
1752570366.431378,10.133333
1752570366.433031,10.133333
1752570366.451215,10.066667
1752570366.471668,10.066667
1752570366.491498,10.000000
1752570366.513718,9.966666
1752570366.534756,9.900000
1752570366.537119,9.900000
1752570366.551387,9.900000
1752570366.571763,9.833333
1752570366.591426,9.833333
1752570366.591538,9.833333
1752570366.611083,9.766666
1752570366.632008,9.766666
1752570366.633622,9.766666
1752570366.636612,9.766666
1752570366.651766,9.700000
1752570366.672048,9.633333
1752570366.691066,9.700000
1752570366.711291,9.700000
1752570366.711606,9.700000
1752570366.731992,9.500000
1752570366.751385,9.500000
1752570366.776341,9.566667
1752570366.780982,9.566667
1752570366.783444,9.566667
1752570366.793606,9.466666
1752570366.814973,9.400000
1752570366.820288,9.400000
1752570366.831790,9.466666
1752570366.851547,9.400000
1752570366.860394,9.400000
1752570366.872740,9.266666
1752570366.891047,9.333333
1752570366.891278,9.333333
1752570366.911800,9.333333
1752570366.932299,9.133333
1752570366.954541,9.133333
1752570366.972378,9.200000
1752570366.991544,9.133333
1752570367.011214,9.066667
1752570367.033428,9.066667
1752570367.034820,9.066667
1752570367.052630,9.000000
1752570367.053071,9.000000
1752570367.072218,8.900000
1752570367.072257,8.900000
1752570367.091339,8.966666
1752570367.091531,8.966666
1752570367.112543,8.966666
1752570367.132297,8.900000
