time_stamp,filtered_speed_kph,filtered_speed_mps,filtered_accel_mph2,filter_mode,target_distance_m,target_speed_mps,target_context,rule_dist_1,rule_speed_1,rule_context_1,rule_dist_2,rule_speed_2,rule_context_2,rule_dist_3,rule_speed_3,rule_context_3,rule_dist_4,rule_speed_4,rule_context_4,rule_dist_5,rule_speed_5,rule_context_5,rule_dist_6,rule_speed_6,rule_context_6,rule_dist_7,rule_speed_7,rule_context_7,rule_dist_8,rule_speed_8,rule_context_8,rule_dist_9,rule_speed_9,rule_context_9,rule_dist_10,rule_speed_10,rule_context_10,rule_dist_11,rule_speed_11,rule_context_11,rule_dist_12,rule_speed_12,rule_context_12,rule_dist_13,rule_speed_13,rule_context_13,rule_dist_14,rule_speed_14,rule_context_14,rule_dist_15,rule_speed_15,rule_context_15,rule_dist_16,rule_speed_16,rule_context_16,rule_dist_17,rule_speed_17,rule_context_17,rule_dist_18,rule_speed_18,rule_context_18,rule_dist_19,rule_speed_19,rule_context_19,rule_dist_20,rule_speed_20,rule_context_20,rule_dist_21,rule_speed_21,rule_context_21,rule_dist_22,rule_speed_22,rule_context_22,rule_dist_23,rule_speed_23,rule_context_23,rule_dist_24,rule_speed_24,rule_context_24,rule_dist_25,rule_speed_25,rule_context_25,rule_dist_26,rule_speed_26,rule_context_26,rule_dist_27,rule_speed_27,rule_context_27,rule_dist_28,rule_speed_28,rule_context_28,rule_dist_29,rule_speed_29,rule_context_29,rule_dist_30,rule_speed_30,rule_context_30
1752570406.887122,13.655,3.793,-0.154,rate_limiter,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.897182,13.649,3.791,-0.153,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.907254,13.644,3.790,-0.152,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.917312,13.638,3.788,-0.151,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.927371,13.633,3.787,-0.150,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.937438,13.627,3.785,-0.149,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.947499,13.622,3.784,-0.148,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.957560,13.617,3.782,-0.147,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.967635,13.611,3.781,-0.146,stopper,35.114,0.000,CarFollow,35.114,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752570406.977697,13.606,3.779,-0.145,stopper,35.114,0.000,CarFollow,35.140,0.000,CarFollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
