time_stamp,data_value
1752570362.090230,-11.500000
1752570362.099713,-11.500000
1752570362.109579,-11.700000
1752570362.119374,-11.800000
1752570362.129748,-12.000000
1752570362.139688,-12.000000
1752570362.150036,-12.200000
1752570362.159669,-12.200000
1752570362.169257,-12.300000
1752570362.179781,-12.400000
1752570362.189611,-12.400000
1752570362.199530,-12.400000
1752570362.209689,-12.500000
1752570362.219501,-12.500000
1752570362.230230,-12.500000
1752570362.239233,-12.500000
1752570362.249390,-12.500000
1752570362.259667,-12.500000
1752570362.269658,-12.500000
1752570362.279517,-12.500000
1752570362.289433,-12.500000
1752570362.299390,-12.600000
1752570362.309407,-12.900000
1752570362.319499,-13.000000
1752570362.329489,-13.200000
1752570362.339302,-13.100000
1752570362.349487,-13.200000
1752570362.359477,-13.200000
1752570362.370357,-13.400000
1752570362.379907,-13.600000
1752570362.390949,-13.600000
1752570362.399525,-13.900000
1752570362.410308,-13.900000
1752570362.420572,-14.100000
1752570362.429379,-14.100000
1752570362.439846,-14.400000
1752570362.449913,-14.500000
1752570362.460912,-14.800000
1752570362.469806,-14.900000
1752570362.479521,-15.100000
1752570362.489802,-15.100000
1752570362.499201,-15.400000
1752570362.509512,-15.500000
1752570362.519639,-15.700000
1752570362.529251,-15.700000
1752570362.539348,-15.900000
1752570362.549584,-15.900000
1752570362.559676,-16.200001
1752570362.569625,-16.400000
1752570362.580071,-16.400000
1752570362.589460,-16.600000
1752570362.599533,-16.799999
1752570362.609501,-16.799999
1752570362.619437,-17.000000
1752570362.629572,-17.000000
1752570362.639534,-17.200001
1752570362.649817,-17.400000
1752570362.659448,-17.500000
1752570362.669436,-17.900000
1752570362.679491,-17.900000
1752570362.690200,-18.100000
1752570362.699846,-18.500000
1752570362.709512,-18.799999
1752570362.719487,-18.900000
1752570362.729787,-19.299999
1752570362.739967,-19.600000
1752570362.749953,-19.900000
1752570362.759423,-20.100000
1752570362.769470,-20.200001
1752570362.779738,-20.600000
1752570362.789822,-20.900000
1752570362.799764,-21.299999
1752570362.812543,-21.500000
1752570362.820648,-21.700001
1752570362.830339,-22.100000
1752570362.840197,-22.299999
1752570362.852490,-22.700001
1752570362.859498,-22.799999
1752570362.869733,-23.100000
1752570362.879731,-23.200001
1752570362.890074,-23.700001
1752570362.899537,-23.700001
1752570362.909362,-23.900000
1752570362.920396,-24.200001
1752570362.929363,-24.299999
1752570362.943632,-24.600000
1752570362.952368,-24.799999
1752570362.959393,-24.799999
1752570362.969442,-25.200001
1752570362.979717,-25.200001
1752570362.989390,-25.500000
1752570363.000129,-25.600000
1752570363.010144,-25.600000
1752570363.019431,-25.799999
1752570363.029975,-25.700001
1752570363.039669,-25.900000
1752570363.050633,-25.900000
1752570363.060999,-26.100000
1752570363.069747,-26.100000
1752570363.080406,-25.900000
1752570363.089654,-26.100000
1752570363.099604,-25.900000
1752570363.109688,-26.100000
1752570363.119721,-26.100000
1752570363.131026,-25.900000
1752570363.140607,-26.100000
1752570363.150374,-26.100000
1752570363.159916,-25.900000
1752570363.169950,-26.100000
1752570363.179999,-25.900000
1752570363.190396,-25.799999
1752570363.199913,-25.900000
1752570363.210025,-25.799999
1752570363.219989,-25.799999
1752570363.230148,-25.600000
1752570363.240449,-25.400000
1752570363.250230,-25.400000
1752570363.259988,-25.200001
1752570363.269925,-25.200001
1752570363.279946,-24.900000
1752570363.290158,-24.400000
1752570363.300379,-24.400000
1752570363.309949,-23.900000
1752570363.320395,-23.400000
1752570363.330481,-22.900000
1752570363.340212,-22.799999
1752570363.349818,-22.299999
1752570363.359685,-21.900000
1752570363.369919,-21.200001
1752570363.380267,-20.799999
1752570363.389408,-20.299999
1752570363.399469,-19.700001
1752570363.410426,-19.100000
1752570363.419764,-18.799999
1752570363.429773,-18.200001
1752570363.439640,-17.600000
1752570363.449633,-16.900000
1752570363.459470,-16.700001
1752570363.469419,-16.100000
1752570363.479536,-15.600000
1752570363.490057,-15.400000
1752570363.499658,-15.000000
1752570363.509387,-14.500000
1752570363.519855,-14.200000
1752570363.529669,-13.800000
1752570363.539290,-13.400000
1752570363.549625,-13.200000
1752570363.559522,-12.500000
1752570363.569969,-12.200000
1752570363.579523,-11.800000
1752570363.589354,-11.500000
1752570363.599463,-11.100000
1752570363.609410,-10.800000
1752570363.619896,-10.500000
1752570363.631000,-10.300000
1752570363.639278,-10.100000
1752570363.649480,-9.700000
1752570363.661036,-9.500000
1752570363.669420,-9.400000
1752570363.679936,-9.200000
1752570363.689272,-9.000000
1752570363.699565,-8.900000
1752570363.709636,-8.800000
1752570363.719648,-8.700000
1752570363.729206,-8.500000
1752570363.739215,-8.300000
1752570363.749498,-8.300000
1752570363.759612,-8.200000
1752570363.771276,-8.100000
1752570363.780154,-8.000000
1752570363.789547,-7.900000
1752570363.799959,-7.900000
1752570363.809893,-7.700000
1752570363.819586,-7.700000
1752570363.829506,-7.700000
1752570363.839175,-7.700000
1752570363.849305,-7.700000
1752570363.859397,-7.700000
1752570363.869401,-7.700000
1752570363.879429,-7.700000
1752570363.889464,-7.800000
1752570363.899904,-7.700000
1752570363.913397,-7.800000
1752570363.919535,-7.800000
1752570363.929336,-8.000000
1752570363.939198,-8.100000
1752570363.950193,-8.500000
1752570363.959589,-8.700000
1752570363.969531,-9.100000
1752570363.979638,-9.600000
1752570363.989814,-10.100000
1752570363.999759,-10.400000
1752570364.010244,-10.900000
1752570364.019519,-11.300000
1752570364.029137,-11.900000
1752570364.039125,-12.400000
1752570364.049719,-13.100000
1752570364.059280,-13.500000
1752570364.070284,-13.900000
1752570364.079545,-14.700000
1752570364.090001,-15.200000
1752570364.099712,-15.800000
1752570364.110668,-16.299999
1752570364.120437,-17.000000
1752570364.131131,-17.600000
1752570364.139140,-18.000000
1752570364.150299,-18.900000
1752570364.159533,-19.299999
1752570364.169918,-20.000000
1752570364.179156,-20.400000
1752570364.189285,-21.100000
1752570364.199460,-21.700001
1752570364.209335,-22.100000
1752570364.219726,-22.700001
1752570364.229141,-23.200001
1752570364.239251,-24.000000
1752570364.250035,-24.500000
1752570364.259778,-25.100000
1752570364.269716,-25.700001
1752570364.280246,-26.299999
1752570364.289683,-27.200001
1752570364.299825,-27.799999
1752570364.309765,-28.500000
1752570364.319874,-29.200001
1752570364.330074,-29.900000
1752570364.340224,-30.600000
1752570364.350275,-31.600000
1752570364.360412,-32.200001
1752570364.370909,-32.799999
1752570364.380383,-33.400002
1752570364.390973,-34.200001
1752570364.397970,-34.799999
1752570364.409982,-35.400002
1752570364.420067,-35.900002
1752570364.430564,-36.500000
1752570364.439306,-37.200001
1752570364.449987,-37.799999
1752570364.459788,-38.299999
1752570364.470774,-38.900002
1752570364.479675,-39.599998
1752570364.490164,-40.200001
1752570364.500611,-40.700001
1752570364.509929,-41.500000
1752570364.518206,-42.000000
1752570364.530635,-42.599998
1752570364.539296,-43.200001
1752570364.549426,-43.599998
1752570364.559337,-44.299999
1752570364.569396,-44.700001
1752570364.579497,-45.599998
1752570364.590082,-46.099998
1752570364.598412,-46.599998
1752570364.610289,-47.299999
1752570364.618498,-47.700001
1752570364.630284,-48.400002
1752570364.639089,-49.000000
1752570364.649933,-49.500000
1752570364.659532,-50.099998
1752570364.670150,-50.700001
1752570364.679435,-51.200001
1752570364.689797,-51.799999
1752570364.699875,-52.599998
1752570364.709828,-53.099998
1752570364.718031,-53.500000
1752570364.730644,-54.200001
1752570364.740726,-54.700001
1752570364.750002,-55.299999
1752570364.759430,-55.900002
1752570364.770313,-56.500000
1752570364.779402,-57.000000
1752570364.789601,-57.400002
1752570364.798205,-58.099998
1752570364.809710,-58.700001
1752570364.817996,-59.099998
1752570364.830229,-59.599998
1752570364.839163,-60.000000
1752570364.849733,-60.599998
1752570364.858474,-61.099998
1752570364.869955,-61.500000
1752570364.878098,-61.900002
1752570364.889854,-62.400002
1752570364.898039,-62.799999
1752570364.909554,-63.200001
1752570364.919487,-63.900002
1752570364.930504,-64.300003
1752570364.939452,-64.599998
1752570364.950516,-64.900002
1752570364.959414,-65.400002
1752570364.971980,-65.800003
1752570364.979419,-66.199997
1752570364.990346,-66.599998
1752570364.998102,-66.900002
1752570365.009362,-67.300003
1752570365.019628,-67.699997
1752570365.029267,-68.000000
1752570365.042287,-68.300003
1752570365.051628,-68.599998
1752570365.058091,-69.000000
1752570365.070354,-69.199997
1752570365.078116,-69.500000
1752570365.089823,-69.699997
1752570365.097983,-70.099998
1752570365.109351,-70.300003
1752570365.117959,-70.500000
1752570365.129948,-70.599998
1752570365.140359,-70.800003
1752570365.149626,-71.000000
1752570365.158108,-71.199997
1752570365.170250,-71.199997
1752570365.178189,-71.300003
1752570365.189830,-71.400002
1752570365.198302,-71.599998
1752570365.209599,-71.699997
1752570365.218107,-71.800003
1752570365.229935,-71.900002
1752570365.238003,-71.900002
1752570365.249553,-72.300003
1752570365.258191,-72.300003
1752570365.269628,-72.300003
1752570365.278141,-72.300003
1752570365.289888,-72.599998
1752570365.299624,-72.699997
1752570365.309963,-72.699997
1752570365.319816,-72.800003
1752570365.329799,-72.900002
1752570365.338264,-73.099998
1752570365.349722,-73.199997
1752570365.357965,-73.400002
1752570365.369980,-73.599998
1752570365.378036,-73.800003
1752570365.389812,-73.900002
1752570365.398104,-74.199997
1752570365.409800,-74.300003
1752570365.418234,-74.500000
1752570365.430171,-74.599998
1752570365.437988,-75.000000
1752570365.449817,-75.099998
1752570365.457992,-75.300003
1752570365.469694,-75.599998
1752570365.478077,-75.699997
1752570365.489856,-76.000000
1752570365.499511,-76.199997
1752570365.509400,-76.400002
1752570365.519527,-76.500000
1752570365.530539,-76.800003
1752570365.539845,-76.900002
1752570365.549846,-77.000000
1752570365.558401,-77.099998
1752570365.570955,-77.199997
1752570365.581736,-77.300003
1752570365.590907,-77.300003
1752570365.599205,-77.699997
1752570365.610655,-77.800003
1752570365.618057,-77.900002
1752570365.630462,-78.099998
1752570365.638138,-78.300003
1752570365.650587,-78.500000
1752570365.658249,-78.699997
1752570365.670977,-78.900002
1752570365.678487,-79.099998
1752570365.690844,-79.199997
1752570365.699427,-79.400002
1752570365.713612,-79.800003
1752570365.717934,-80.000000
1752570365.731366,-80.199997
1752570365.738003,-80.500000
1752570365.750307,-80.699997
